,name,link,min_salary,max_salary,currency,source_site
0,Data Scientist / Product Analyst (Продуктовый аналитик),https://hhcdn.ru/click?b=277487&place=35,,,,https://hh.ru
1,Data Scientist (команда Поиска),https://hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
2,Стажер Data Scientist,https://hh.ru/vacancy/51927518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,20000.0,40000.0,руб.,https://hh.ru
3,Data Scientist (Middle),https://hh.ru/vacancy/51421868?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,200000.0,330000.0,руб.,https://hh.ru
4,Специалист Computer Vision (Middle Data Scientist),https://hh.ru/vacancy/51251326?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,150000.0,250000.0,руб.,https://hh.ru
5,Data Scientist / Аналитик больших данных,https://hh.ru/vacancy/51952618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,100000.0,250000.0,руб.,https://hh.ru
6,Младший аналитик / Data scientist,https://hh.ru/vacancy/51346006?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
7,Стажер Data scientist,https://hh.ru/vacancy/52118395?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,35000.0,руб.,https://hh.ru
8,Аналитик данных / Data scientist,https://hh.ru/vacancy/49598346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,130000.0,180000.0,руб.,https://hh.ru
9,Middle Data Science,https://hh.ru/vacancy/51365940?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,250000.0,300000.0,руб.,https://hh.ru
10,Senior / Lead Data Scientist (Recommender Systems),https://hh.ru/vacancy/51256964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,450000.0,руб.,https://hh.ru
11,Data Scientist,https://hh.ru/vacancy/51045137?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,1000.0,1500.0,EUR,https://hh.ru
12,Data Scientist,https://hh.ru/vacancy/52120886?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,250000.0,руб.,https://hh.ru
